,Year,Month,Day,Hour,Min,Sec,LAT,LON,DEP,EX,EY,AZ,EZ,MAG,ID,UTCDT,inBG,inNC,inSTA1,inSTA2,inSTA3
74,2003,10,8,12,56,40.825,38.829159999999995,-122.76503000000001,2.872,8.0,5.0,11,6.999999999999999,1.9,21311572,2003-10-08T12:56:40.825000Z,True,True,True,True,True
76,2003,10,16,15,0,31.6,38.80318,-122.79486000000001,4.058,16.0,11.000000000000002,24,12.0,1.8,21313050,2003-10-16T15:00:31.600000Z,True,True,True,True,True
79,2003,11,9,5,39,11.97,38.78069,-122.7589,0.579,6.0,6.0,179,9.000000000000002,1.9,21317591,2003-11-09T05:39:11.970000Z,True,True,True,True,True
186,2004,2,22,0,8,25.447,38.81732,-122.79081000000001,3.322,13.999999999999998,13.000000000000002,89,15.0,3.3,21345012,2004-02-22T00:08:25.447000Z,True,True,True,True,True
190,2004,2,22,14,20,9.897,38.81975,-122.79239,3.674,10.0,9.000000000000002,2,13.000000000000002,1.9,21345098,2004-02-22T14:20:09.897000Z,True,True,True,True,True
195,2004,2,25,3,6,57.11,38.8183,-122.80256999999999,2.602,10.0,6.0,24,8.0,2.4,21345716,2004-02-25T03:06:57.110000Z,True,True,True,True,True
197,2004,2,25,23,17,24.86,38.79929,-122.8054,2.573,11.000000000000002,8.0,53,10.0,2.0,21346172,2004-02-25T23:17:24.860000Z,True,True,True,True,True
203,2004,3,2,7,49,4.7989999999999995,38.81615,-122.7999,2.15,10.0,6.999999999999999,9,6.999999999999999,2.0,21347196,2004-03-02T07:49:04.799000Z,True,True,True,True,True
215,2004,3,10,1,10,53.335,38.78647,-122.7748,2.7969999999999997,6.0,5.0,177,6.999999999999999,1.8,21349183,2004-03-10T01:10:53.335000Z,True,True,True,True,True
216,2004,3,11,20,51,22.08,38.78801,-122.77261000000001,1.0859999999999999,10.0,8.0,171,12.0,1.9,21349759,2004-03-11T20:51:22.080000Z,True,True,True,True,True
217,2004,3,12,5,4,45.806000000000004,38.827420000000004,-122.83111000000001,2.245,12.0,8.0,171,15.0,1.8,21349873,2004-03-12T05:04:45.806000Z,True,True,True,True,True
218,2004,3,13,7,24,2.995,38.786359999999995,-122.77323,2.089,6.0,4.0,158,6.0,1.8,21350124,2004-03-13T07:24:02.995000Z,True,True,True,True,True
219,2004,3,13,11,53,20.715,38.81681,-122.8016,2.2319999999999998,11.000000000000002,6.0,15,6.0,2.0,21350162,2004-03-13T11:53:20.715000Z,True,True,True,True,True
221,2004,3,13,22,42,5.271,38.79246,-122.73758000000001,2.185,6.0,5.0,166,6.0,2.1,21350244,2004-03-13T22:42:05.271000Z,True,True,True,True,True
224,2004,3,14,7,16,9.115,38.83015,-122.79999,2.285,9.000000000000002,6.0,31,5.0,2.2,21350312,2004-03-14T07:16:09.115000Z,True,True,True,True,True
227,2004,3,14,16,0,12.415,38.83452,-122.77871999999999,1.3730000000000002,8.0,6.0,24,6.999999999999999,2.1,21350416,2004-03-14T16:00:12.415000Z,True,True,True,True,True
230,2004,3,16,0,8,57.66,38.804,-122.83033999999999,3.3989999999999996,13.999999999999998,8.0,13,13.999999999999998,1.8,21350725,2004-03-16T00:08:57.660000Z,True,True,True,True,True
231,2004,3,16,11,21,13.037,38.79505,-122.76398,2.066,5.0,4.0,6,5.0,1.8,21350876,2004-03-16T11:21:13.037000Z,True,True,True,True,True
233,2004,3,17,7,58,34.1,38.81323,-122.80998000000001,4.144,17.0,10.0,16,10.0,2.0,21351147,2004-03-17T07:58:34.100000Z,True,True,True,True,True
247,2004,3,26,21,17,14.651,38.801809999999996,-122.80901000000001,0.991,12.0,8.0,27,10.0,1.8,21353508,2004-03-26T21:17:14.651000Z,True,True,True,True,True
248,2004,3,27,23,43,34.68,38.798390000000005,-122.80395,2.867,12.0,9.000000000000002,16,10.0,2.1,21353933,2004-03-27T23:43:34.680000Z,True,True,True,True,True
249,2004,3,28,23,51,47.6,38.81692,-122.79512,2.583,8.0,8.0,111,8.0,2.3,21354316,2004-03-28T23:51:47.600000Z,True,True,True,True,True
251,2004,3,29,9,27,51.69,38.816990000000004,-122.80962,4.027,17.0,10.0,34,13.000000000000002,1.9,30227315,2004-03-29T09:27:51.690000Z,True,True,True,True,True
252,2004,3,29,9,53,47.92,38.80681,-122.7978,4.06,12.0,6.0,9,6.999999999999999,2.7,21354396,2004-03-29T09:53:47.920000Z,True,True,True,True,True
253,2004,3,29,13,9,27.525,38.794509999999995,-122.7631,1.765,5.0,4.0,28,5.0,2.5,21354414,2004-03-29T13:09:27.525000Z,True,True,True,True,True
258,2004,4,2,9,19,23.34,38.78171,-122.72416000000001,2.326,8.0,6.0,40,5.0,1.8,21355227,2004-04-02T09:19:23.340000Z,True,True,True,True,True
260,2004,4,6,22,31,11.099,38.785779999999995,-122.78225,2.127,13.000000000000002,10.0,39,12.0,1.8,21356298,2004-04-06T22:31:11.099000Z,True,True,True,True,True
261,2004,4,7,5,45,38.265,38.82114,-122.80398999999998,3.952,13.999999999999998,6.0,19,8.0,2.4,21356360,2004-04-07T05:45:38.265000Z,True,True,True,True,True
262,2004,4,7,10,39,40.645,38.8158,-122.80531,3.3360000000000003,16.0,12.0,26,13.999999999999998,2.6,21356400,2004-04-07T10:39:40.645000Z,True,True,True,True,True
263,2004,4,7,14,5,58.528999999999996,38.824490000000004,-122.80096,4.002,8.0,6.0,172,6.0,2.2,21356426,2004-04-07T14:05:58.529000Z,True,True,True,True,True
265,2004,4,8,20,53,6.08,38.79785,-122.80506000000001,2.675,13.000000000000002,8.0,178,10.0,1.8,21356727,2004-04-08T20:53:06.080000Z,True,True,True,True,True
268,2004,4,15,5,47,4.35,38.794290000000004,-122.73782,2.311,9.000000000000002,5.0,12,6.0,1.8,21358205,2004-04-15T05:47:04.350000Z,True,True,True,True,True
269,2004,4,15,17,20,39.8,38.82097,-122.79531999999999,0.78,13.999999999999998,8.0,10,11.000000000000002,2.0,21358275,2004-04-15T17:20:39.800000Z,True,True,True,True,True
270,2004,4,16,14,55,27.535,38.82578,-122.79715,3.675,6.999999999999999,6.0,27,8.0,2.0,21358413,2004-04-16T14:55:27.535000Z,True,True,True,True,True
276,2004,4,18,1,2,28.38,38.791509999999995,-122.80346999999999,4.0489999999999995,8.0,6.999999999999999,87,8.0,1.8,21358727,2004-04-18T01:02:28.380000Z,True,True,True,True,True
277,2004,4,18,17,15,46.42100000000001,38.81296,-122.8015,3.6919999999999997,13.999999999999998,11.000000000000002,25,13.999999999999998,2.6,21358861,2004-04-18T17:15:46.421000Z,True,True,True,True,True
278,2004,4,21,1,44,20.98,38.79511,-122.78123000000001,2.358,11.000000000000002,8.0,20,9.000000000000002,1.8,21359325,2004-04-21T01:44:20.980000Z,True,True,True,True,True
279,2004,4,24,2,3,8.365,38.801190000000005,-122.80588999999999,3.08,15.0,8.0,45,11.000000000000002,2.3,21359791,2004-04-24T02:03:08.365000Z,True,True,True,True,True
